AAD_AUSDRUCKDETAIL;BIL.AAD_AUSDRUCKDETAIL
DTA_DBSCHEMA;DTA_DBSCHEMA
DTA_PERSISTENT;DTA_PERSISTENT
DTA_LETZTERUSER;DTA_LETZTERUSER
DTA_AENDERUNGSDATUM;DTA_AENDERUNGSDATUM
DTA_ERSTELLDATUM;DTA_ERSTELLDATUM
DTA_PROJEKTINFO;DTA_PROJEKTINFO
DTA_DTAID;DTA_DTAID
DTA_OBJEKTNAME;DTA_OBJEKTNAME
DTA_ISDATALINKTARGET;DTA_ISDATALINKTARGET
DTA_FORONLINEHELP;DTA_FORONLINEHELP
DTA_ONDELETECHECKDLK;DTA_ONDELETECHECKDLK
DTH_BAUMID (PK);DTH_BAUMID
DTH_BAUMARTKZ;DTH_BAUMARTKZ
DTH_BEZEICHNUNG;DTH_BEZEICHNUNG
DTH_ISTINTERN;DTH_ISTINTERN
DTH_ISTGEAENDERT;DTH_ISTGEAENDERT
DTH_USERID;DTH_USERID
DTH_REIHENFOLGE;DTH_REIHENFOLGE
DTH_SHOW_DOG;DTH_SHOW_DOG
DTH_EDIT_DOG;DTH_EDIT_DOG
DTH_AENDERUNGSDATUM;DTH_AENDERUNGSDATUM
DTH_ERSTELLDATUM;DTH_ERSTELLDATUM
DTH_ERSTELLUSER;DTH_ERSTELLUSER
DTH_LETZTERUSER;DTH_LETZTERUSER
DTP_BAUMID (PK);DTP_BAUMID
DTP_OBJPOSID (PK);DTP_OBJPOSID
DTP_PARENTID;DTP_PARENTID
DTP_OBJARTKZ;DTP_OBJARTKZ
DTP_OBJID1;DTP_OBJID1
DTP_OBJID2;DTP_OBJID2
DTP_ISTSICHTBAR;DTP_ISTSICHTBAR
DTP_AENDERUNGSDATUM;DTP_AENDERUNGSDATUM
DTP_ERSTELLDATUM;DTP_ERSTELLDATUM
DTP_ERSTELLUSER;DTP_ERSTELLUSER
DTP_LETZTERUSER;DTP_LETZTERUSER
DTU_HAUPTGRUPPE (PK);DTU_HAUPTGRUPPE
DTU_UNTERGRUPPE (PK);DTU_UNTERGRUPPE
DTU_TABELLENNAME (PK);DTU_TABELLENNAME
DTU_TABELLENBEZ;DTU_TABELLENBEZ
DTU_AENDERUNGSDATUM;DTU_AENDERUNGSDATUM
DTU_ERSTELLDATUM;DTU_ERSTELLDATUM
DTU_ERSTELLUSER;DTU_ERSTELLUSER
DTU_LETZTERUSER;DTU_LETZTERUSER
DUF_LINKGUID (PK);DUF_LINKGUID
DUF_BMDCONSTNAME (PK);DUF_BMDCONSTNAME
DUF_AENDERUNGSDATUM;DUF_AENDERUNGSDATUM
DUF_ERSTELLDATUM;DUF_ERSTELLDATUM
DUF_ERSTELLUSER;DUF_ERSTELLUSER
DUF_LETZTERUSER;DUF_LETZTERUSER
DUK_LINKGUID (PK);DUK_LINKGUID
DUK_LINKNAME;DUK_LINKNAME
DUK_MATCHCODE;DUK_MATCHCODE
DUK_SHOW_DOG;DUK_SHOW_DOG
DUK_EDIT_DOG;DUK_EDIT_DOG
DUK_DEPENDSON_LINKGUID;DUK_DEPENDSON_LINKGUID
DUK_LINKNR;DUK_LINKNR
DUK_LINKTYPE;DUK_LINKTYPE
DUK_AENDERUNGSDATUM;DUK_AENDERUNGSDATUM
DUK_ERSTELLDATUM;DUK_ERSTELLDATUM
DUK_ERSTELLUSER;DUK_ERSTELLUSER
DUK_LETZTERUSER;DUK_LETZTERUSER
DVE_VERSIONSNR (PK);DVE_VERSIONSNR
DVE_LETZTERUSER;DVE_LETZTERUSER
DVE_ERSTELLUSER;DVE_ERSTELLUSER
DVE_ERSTELLDATUM;DVE_ERSTELLDATUM
DVE_AENDERUNGSDATUM;DVE_AENDERUNGSDATUM
DWA_DWATITEL (PK);DWA_DWATITEL
DWA_DWAID (PK);DWA_DWAID
DWA_DWABEZ;DWA_DWABEZ
DWA_DWAART;DWA_DWAART
DWA_HTMLTEXT;DWA_HTMLTEXT
DWA_HTMLTAG;DWA_HTMLTAG
DWA_BMDCONSTNAME;DWA_BMDCONSTNAME
DWA_PARAMETER;DWA_PARAMETER
DWA_AENDERUNGSDATUM;DWA_AENDERUNGSDATUM
DWA_ERSTELLDATUM;DWA_ERSTELLDATUM
DWA_ERSTELLUSER;DWA_ERSTELLUSER
DWA_LETZTERUSER;DWA_LETZTERUSER
ETD_ETIKETTENID (PK);ETD_ETIKETTENID
ETD_HOCHQUER;ETD_HOCHQUER
ETD_LETZTERUSER;ETD_LETZTERUSER
ETD_ETIKETTENNAME;ETD_ETIKETTENNAME
ETD_LINKERRAND;ETD_LINKERRAND
ETD_OBERERRAND;ETD_OBERERRAND
ETD_ZEILEN;ETD_ZEILEN
ETD_SPALTEN;ETD_SPALTEN
ETD_EHOEHE;ETD_EHOEHE
ETD_EBREITE;ETD_EBREITE
ETD_HORIZONTAL;ETD_HORIZONTAL
ETD_VERTIKAL;ETD_VERTIKAL
ETD_PAPIERFORMAT;ETD_PAPIERFORMAT
ETD_PAPIERBREITE;ETD_PAPIERBREITE
ETD_PAPIERHOEHE;ETD_PAPIERHOEHE
ETD_ISTSTANDARD;ETD_ISTSTANDARD
ETD_AENDERUNGSDATUM;ETD_AENDERUNGSDATUM
ETD_ERSTELLDATUM;ETD_ERSTELLDATUM
ETD_ERSTELLUSER;ETD_ERSTELLUSER
GSW_GESETZWERTNR (PK);GSW_GESETZWERTNR
GSW_GESETZWERTABDATUM (PK);GSW_GESETZWERTABDATUM
GSW_GESETZWERTBEZ;GSW_GESETZWERTBEZ
GSW_BETRAG;GSW_BETRAG
GSW_BMDCONSTNAME;GSW_BMDCONSTNAME
GSW_WERTGRUPPE;GSW_WERTGRUPPE
GSW_AENDERUNGSDATUM;GSW_AENDERUNGSDATUM
GSW_ERSTELLDATUM;GSW_ERSTELLDATUM
GSW_LETZTERUSER;GSW_LETZTERUSER
GSW_ERSTELLUSER;GSW_ERSTELLUSER
GSW_HAUPTWERTGRUPPE;GSW_HAUPTWERTGRUPPE
GSW_LANDNR;GSW_LANDNR
LFZ_DLGID (PK);LFZ_DLGID
LFZ_NTCSARTIKELNR (PK);LFZ_NTCSARTIKELNR
LFZ_NTCSBMDPAKETNR;LFZ_NTCSBMDPAKETNR
LFZ_AENDERUNGSDATUM;LFZ_AENDERUNGSDATUM
LFZ_ERSTELLDATUM;LFZ_ERSTELLDATUM
LFZ_ERSTELLUSER;LFZ_ERSTELLUSER
LFZ_LETZTERUSER;LFZ_LETZTERUSER
PAA_PARAMETERDEFNR (PK);PAA_PARAMETERDEFNR
PAA_PARAMAUSPRAEGUNGSNR (PK);PAA_PARAMAUSPRAEGUNGSNR
PAA_PARAMAUSPRAEGUNGSBEZ;PAA_PARAMAUSPRAEGUNGSBEZ
PAA_LETZTERUSER;PAA_LETZTERUSER
PAA_AENDERUNGSDATUM;PAA_AENDERUNGSDATUM
PAA_ERSTELLDATUM;PAA_ERSTELLDATUM
PAA_ERSTELLUSER;PAA_ERSTELLUSER
PAA_PARAMCONSTNAME;PAA_PARAMCONSTNAME
PAD_PARAMETERDEFNR (PK);PAD_PARAMETERDEFNR
PAD_PARAMETERDEFNAME;PAD_PARAMETERDEFNAME
PAD_LETZTERUSER;PAD_LETZTERUSER
PAD_AENDERUNGSDATUM;PAD_AENDERUNGSDATUM
PAD_ERSTELLDATUM;PAD_ERSTELLDATUM
PAD_ERSTELLUSER;PAD_ERSTELLUSER
PAD_DBSCHEMA;PAD_DBSCHEMA
PAG_PARAMGRUPPE (PK);PAG_PARAMGRUPPE
PAG_PARAMGRUPPENBEZ;PAG_PARAMGRUPPENBEZ
PAG_AENDERUNGSDATUM;PAG_AENDERUNGSDATUM
PAG_ERSTELLDATUM;PAG_ERSTELLDATUM
PAG_LETZTERUSER;PAG_LETZTERUSER
PAG_ERSTELLUSER;PAG_ERSTELLUSER
PAG_DBSCHEMA;PAG_DBSCHEMA
PAG_PARAMREIHENFOLGE;PAG_PARAMREIHENFOLGE
PAG_HLBID;PAG_HLBID
PAG_HLDID;PAG_HLDID
PAR_PARAMGRUPPE (PK);PAR_PARAMGRUPPE
PAR_PARAMUNTERGRUPPE (PK);PAR_PARAMUNTERGRUPPE
PAR_PARAMNR (PK);PAR_PARAMNR
PAR_PARAMETERDEFNR;PAR_PARAMETERDEFNR
PAR_PARAMBEZ;PAR_PARAMBEZ
PAR_PARAMDEFAULTWERT;PAR_PARAMDEFAULTWERT
PAR_PARAMMINWERT;PAR_PARAMMINWERT
PAR_PARAMMAXWERT;PAR_PARAMMAXWERT
PAR_PARAMLAENGE;PAR_PARAMLAENGE
PAR_PARAMSICHTBAR;PAR_PARAMSICHTBAR
PAR_PARAMART;PAR_PARAMART
PAR_PARAMHINTNLSNR;PAR_PARAMHINTNLSNR
PAR_PARAMREIHENFOLGE;PAR_PARAMREIHENFOLGE
PAR_LETZTERUSER;PAR_LETZTERUSER
PAR_AENDERUNGSDATUM;PAR_AENDERUNGSDATUM
PAR_ERSTELLDATUM;PAR_ERSTELLDATUM
PAR_PARAMCONSTNAME;PAR_PARAMCONSTNAME
PAR_ERSTELLUSER;PAR_ERSTELLUSER
PAR_PARAMSYNCNR;PAR_PARAMSYNCNR
PAR_HLBID;PAR_HLBID
PAR_HLDID;PAR_HLDID
PAR_DATENTYP;PAR_DATENTYP
PAR_INTERNINFO;PAR_INTERNINFO
PAR_SUCHFUNKTIONSNR;PAR_SUCHFUNKTIONSNR
PAU_PARAMGRUPPE (PK);PAU_PARAMGRUPPE
PAU_PARAMUNTERGRUPPE (PK);PAU_PARAMUNTERGRUPPE
PAU_PARAMCONSTNAME;PAU_PARAMCONSTNAME
PAU_ERSTELLUSER;PAU_ERSTELLUSER
PAU_PARAMREIHENFOLGE;PAU_PARAMREIHENFOLGE
PAU_ERSTELLDATUM;PAU_ERSTELLDATUM
PAU_PARAMUNTERGRUPPENBEZ;PAU_PARAMUNTERGRUPPENBEZ
PAU_LETZTERUSER;PAU_LETZTERUSER
PAU_AENDERUNGSDATUM;PAU_AENDERUNGSDATUM
PAU_SICHTBAR;PAU_SICHTBAR
PAU_HLBID;PAU_HLBID
PAU_HLDID;PAU_HLDID
PAZ_PARAMGRUPPE (PK);PAZ_PARAMGRUPPE
PAZ_PAKETNR (PK);PAZ_PAKETNR
PAZ_AENDERUNGSDATUM;PAZ_AENDERUNGSDATUM
PAZ_ERSTELLDATUM;PAZ_ERSTELLDATUM
PAZ_ERSTELLUSER;PAZ_ERSTELLUSER
PAZ_LETZTERUSER;PAZ_LETZTERUSER
PAZ_REIHUNG;PAZ_REIHUNG
PDW_PARAMGRUPPE (PK);PDW_PARAMGRUPPE
PDW_PARAMUNTERGRUPPE (PK);PDW_PARAMUNTERGRUPPE
PDW_PARAMNR (PK);PDW_PARAMNR
PDW_PARAMWERTLFDNR (PK);PDW_PARAMWERTLFDNR
PDW_PARAMWERTKEYEXT (PK);PDW_PARAMWERTKEYEXT
PDW_BMDUSERID;PDW_BMDUSERID
PDW_PARAMWERT;PDW_PARAMWERT
PDW_COMPUTER;PDW_COMPUTER
PDW_LETZTERUSER;PDW_LETZTERUSER
PDW_AENDERUNGSDATUM;PDW_AENDERUNGSDATUM
PDW_ERSTELLDATUM;PDW_ERSTELLDATUM
PDW_ERSTELLUSER;PDW_ERSTELLUSER
PDW_FIRMENPAKETNR;PDW_FIRMENPAKETNR
PKG_PROTOKOLLGRP (PK);PKG_PROTOKOLLGRP
PKG_PROTOKOLLGRPTEXT;PKG_PROTOKOLLGRPTEXT
PKG_AENDERUNGSDATUM;PKG_AENDERUNGSDATUM
PKG_ERSTELLDATUM;PKG_ERSTELLDATUM
PKG_ERSTELLUSER;PKG_ERSTELLUSER
PKG_LETZTERUSER;PKG_LETZTERUSER
PKG_DATASETNEW_PERMANENT;PKG_DATASETNEW_PERMANENT
PKG_DATASETUPD_PERMANENT;PKG_DATASETUPD_PERMANENT
PKG_DATASETDEL_PERMANENT;PKG_DATASETDEL_PERMANENT
PKG_ACTION_PERMANENT;PKG_ACTION_PERMANENT
UPK_SCRNR (PK);UPK_SCRNR
UPK_VERSIONSNR;UPK_VERSIONSNR
UPK_PAKETNR;UPK_PAKETNR
UPK_KATEGORIEBEZ;UPK_KATEGORIEBEZ
UPK_ISTWICHTIG;UPK_ISTWICHTIG
UPK_ISTADMIN;UPK_ISTADMIN
UPK_ISTJAHRESUPDATE;UPK_ISTJAHRESUPDATE
UPK_ISTINHOUSE;UPK_ISTINHOUSE
UPK_FUNKTIONSNR;UPK_FUNKTIONSNR
UPK_AENDERUNGSDATUM;UPK_AENDERUNGSDATUM
UPK_ERSTELLDATUM;UPK_ERSTELLDATUM
UPK_ERSTELLUSER;UPK_ERSTELLUSER
UPK_LETZTERUSER;UPK_LETZTERUSER
UPK_WIIID;UPK_WIIID
UPK_WIIKZ;UPK_WIIKZ
UPN_SCRNR (PK);UPN_SCRNR
UPN_NLSID (PK);UPN_NLSID
UPN_HTML;UPN_HTML
UPN_AENDERUNGSDATUM;UPN_AENDERUNGSDATUM
UPN_ERSTELLDATUM;UPN_ERSTELLDATUM
UPN_ERSTELLUSER;UPN_ERSTELLUSER
UPN_LETZTERUSER;UPN_LETZTERUSER
WQF_WIIID (PK);WQF_WIIID
WQF_FUNKTIONSNR (PK);WQF_FUNKTIONSNR
WQF_AENDERUNGSDATUM;WQF_AENDERUNGSDATUM
WQF_ERSTELLDATUM;WQF_ERSTELLDATUM
WQF_ERSTELLUSER;WQF_ERSTELLUSER
WQF_LETZTERUSER;WQF_LETZTERUSER
WQI_WIIID (PK);WQI_WIIID
WQI_WIIKZ;WQI_WIIKZ
WQI_PAKETNR;WQI_PAKETNR
WQI_KATEGORIEBEZ;WQI_KATEGORIEBEZ
WQI_ISTWICHTIG;WQI_ISTWICHTIG
WQI_ISTADMIN;WQI_ISTADMIN
WQI_ISTJAHRESUPDATE;WQI_ISTJAHRESUPDATE
WQI_ISTINHOUSE;WQI_ISTINHOUSE
WQI_AENDERUNGSDATUM;WQI_AENDERUNGSDATUM
WQI_ERSTELLDATUM;WQI_ERSTELLDATUM
WQI_ERSTELLUSER;WQI_ERSTELLUSER
WQI_LETZTERUSER;WQI_LETZTERUSER
WQI_VERSIONSNR;WQI_VERSIONSNR
WQI_LIZENZEN;WQI_LIZENZEN
WQL_WIIID (PK);WQL_WIIID
WQL_NLSID (PK);WQL_NLSID
WQL_TITEL;WQL_TITEL
WQL_HTML;WQL_HTML
WQL_AENDERUNGSDATUM;WQL_AENDERUNGSDATUM
WQL_ERSTELLDATUM;WQL_ERSTELLDATUM
WQL_ERSTELLUSER;WQL_ERSTELLUSER
WQL_LETZTERUSER;WQL_LETZTERUSER
WQV_WIIID (PK);WQV_WIIID
WQV_VERSIONSNR (PK);WQV_VERSIONSNR
WQV_AENDERUNGSDATUM;WQV_AENDERUNGSDATUM
WQV_ERSTELLDATUM;WQV_ERSTELLDATUM
WQV_ERSTELLUSER;WQV_ERSTELLUSER
WQV_LETZTERUSER;WQV_LETZTERUSER
AXT_AXTID (PK);AXT_AXTID
AXT_BEZ;AXT_BEZ
AXT_DELPHITYPE;AXT_DELPHITYPE
AXT_PAKETNR;AXT_PAKETNR
AXT_VERWENDUNG;AXT_VERWENDUNG
AXT_PARAMVERWENDUNG;AXT_PARAMVERWENDUNG
AXT_AENDERUNGSDATUM;AXT_AENDERUNGSDATUM
AXT_ERSTELLDATUM;AXT_ERSTELLDATUM
AXT_ERSTELLUSER;AXT_ERSTELLUSER
AXT_LETZTERUSER;AXT_LETZTERUSER
AXZ_AXZID (PK);AXZ_AXZID
AXZ_AXTID;AXZ_AXTID
AXZ_BMDCONSTNAME;AXZ_BMDCONSTNAME
AXZ_PARAMETER;AXZ_PARAMETER
AXZ_REIHUNG;AXZ_REIHUNG
AXZ_AENDERUNGSDATUM;AXZ_AENDERUNGSDATUM
AXZ_ERSTELLDATUM;AXZ_ERSTELLDATUM
AXZ_ERSTELLUSER;AXZ_ERSTELLUSER
AXZ_LETZTERUSER;AXZ_LETZTERUSER
BCI_BMDCONSTID;BCI_BMDCONSTID
BCI_BMDCONSTNAME;BCI_BMDCONSTNAME
BCI_BESCHREIBUNG;BCI_BESCHREIBUNG
BCI_DBSCHEMA;BCI_DBSCHEMA
BCI_PROG_FIRMENNR;BCI_PROG_FIRMENNR
BCI_PROG_MITARBEITERID;BCI_PROG_MITARBEITERID
BCI_VERANTW_FIRMENNR;BCI_VERANTW_FIRMENNR
BCI_VERANTW_MITARBEITERID;BCI_VERANTW_MITARBEITERID
BCI_PROJEKT_FIRMENNR;BCI_PROJEKT_FIRMENNR
BCI_PROJEKTNR;BCI_PROJEKTNR
BCI_PROJEKTTYP;BCI_PROJEKTTYP
BCI_AENDERUNGSDATUM;BCI_AENDERUNGSDATUM
BCI_ERSTELLDATUM;BCI_ERSTELLDATUM
BCI_ERSTELLUSER;BCI_ERSTELLUSER
BCI_LETZTERUSER;BCI_LETZTERUSER
BLZ_PACKAGEID (PK);BLZ_PACKAGEID
BLZ_BLZLFDNR (PK);BLZ_BLZLFDNR
BLZ_KIND;BLZ_KIND
BLZ_VALUE;BLZ_VALUE
BLZ_AENDERUNGSDATUM;BLZ_AENDERUNGSDATUM
BLZ_ERSTELLDATUM;BLZ_ERSTELLDATUM
BLZ_ERSTELLUSER;BLZ_ERSTELLUSER
BLZ_LETZTERUSER;BLZ_LETZTERUSER
BPL_BPLID (PK);BPL_BPLID
BPL_NAME;BPL_NAME
BPL_PAKET;BPL_PAKET
BPL_AENDERUNGSDATUM;BPL_AENDERUNGSDATUM
BPL_ERSTELLDATUM;BPL_ERSTELLDATUM
BPL_ERSTELLUSER;BPL_ERSTELLUSER
BPL_LETZTERUSER;BPL_LETZTERUSER
BTE_TABELLENNAME (PK);BTE_TABELLENNAME
BTE_FELDNAME (PK);BTE_FELDNAME
BTE_FELDKONSTANTE_ERZEUGEN;BTE_FELDKONSTANTE_ERZEUGEN
BTE_AENDERUNGSDATUM;BTE_AENDERUNGSDATUM
BTE_ERSTELLDATUM;BTE_ERSTELLDATUM
BTE_ERSTELLUSER;BTE_ERSTELLUSER
BTE_LETZTERUSER;BTE_LETZTERUSER
BTE_FIELD_OFFER;BTE_FIELD_OFFER
BTE_FIELD_ERROR;BTE_FIELD_ERROR
BTE_FIELD_FORMAT_OK;BTE_FIELD_FORMAT_OK
BTE_DSGVOSTATUS;BTE_DSGVOSTATUS
DBC_DBCHANGENR;DBC_DBCHANGENR
DBC_NOTIZ;DBC_NOTIZ
DBC_DBVERSION;DBC_DBVERSION
DBC_PGMVERSION;DBC_PGMVERSION
DBC_STATUS_FB;DBC_STATUS_FB
DBC_STATUS_DBC;DBC_STATUS_DBC
DBC_STATUS_VOR_DBC;DBC_STATUS_VOR_DBC
DBC_STATUS_NACH_DBC;DBC_STATUS_NACH_DBC
DBC_STATUS_NACH_ALLEN_DBCS;DBC_STATUS_NACH_ALLEN_DBCS
DBC_AENDERUNGSDATUM;DBC_AENDERUNGSDATUM
DBC_ERSTELLDATUM;DBC_ERSTELLDATUM
DBC_ERSTELLUSER;DBC_ERSTELLUSER
DBC_LETZTERUSER;DBC_LETZTERUSER
FRX_FRAMEID (PK);FRX_FRAMEID
FRX_FRAMEBEZ;FRX_FRAMEBEZ
FRX_PAKET;FRX_PAKET
FRX_STYLE;FRX_STYLE
FRX_AENDERUNGSDATUM;FRX_AENDERUNGSDATUM
FRX_ERSTELLDATUM;FRX_ERSTELLDATUM
FRX_ERSTELLUSER;FRX_ERSTELLUSER
FRX_LETZTERUSER;FRX_LETZTERUSER
NLSOK_ENG;NLSOK_ENG
NLSOK_ITA;NLSOK_ITA
NLSOK_HUN;NLSOK_HUN
NLSOK_SVK;NLSOK_SVK
NLSOK_SLO;NLSOK_SLO
NLSOK_CZH;NLSOK_CZH
NLSOK_KRO;NLSOK_KRO
HKP_HILFEKAPITELID (PK);HKP_HILFEKAPITELID
HKP_HILFEKAPITELBEZ;HKP_HILFEKAPITELBEZ
HKP_MATCHCODE;HKP_MATCHCODE
HKP_PARENT_HILFEKAPITELID;HKP_PARENT_HILFEKAPITELID
HKP_PROJEKTID;HKP_PROJEKTID
HKP_REIHENFOLGE;HKP_REIHENFOLGE
HKP_AENDERUNGSDATUM;HKP_AENDERUNGSDATUM
HKP_ERSTELLDATUM;HKP_ERSTELLDATUM
HKP_ERSTELLUSER;HKP_ERSTELLUSER
HKP_LETZTERUSER;HKP_LETZTERUSER
HKT_HILFEKAPITELID (PK);HKT_HILFEKAPITELID
HKT_HILFETBID (PK);HKT_HILFETBID
HKT_REIHENFOLGE;HKT_REIHENFOLGE
HKT_AENDERUNGSDATUM;HKT_AENDERUNGSDATUM
HKT_ERSTELLDATUM;HKT_ERSTELLDATUM
HKT_ERSTELLUSER;HKT_ERSTELLUSER
HKT_LETZTERUSER;HKT_LETZTERUSER
HLB_HLBID (PK);HLB_HLBID
HLB_BEZ;HLB_BEZ
HLB_PAKET;HLB_PAKET
HLB_KATEGORIE;HLB_KATEGORIE
HLB_GELOESCHT;HLB_GELOESCHT
HLB_PARAMETER;HLB_PARAMETER
HLB_AENDERUNGSDATUM;HLB_AENDERUNGSDATUM
HLB_ERSTELLDATUM;HLB_ERSTELLDATUM
HLB_ERSTELLUSER;HLB_ERSTELLUSER
HLB_LETZTERUSER;HLB_LETZTERUSER
HLB_LOCKUSERID;HLB_LOCKUSERID
HLB_NLSOK;HLB_NLSOK
HLB_NLSOK_ENG;HLB_NLSOK_ENG
HLB_NLSOK_ITA;HLB_NLSOK_ITA
HLB_NLSOK_HUN;HLB_NLSOK_HUN
HLB_NLSOK_SVK;HLB_NLSOK_SVK
HLB_NLSOK_SLO;HLB_NLSOK_SLO
HLB_NLSOK_CZH;HLB_NLSOK_CZH
HLB_NLSOK_KRO;HLB_NLSOK_KRO
HLB_BAUSTEIN_NAME;HLB_BAUSTEIN_NAME
HLB_NLSOK_TUR;HLB_NLSOK_TUR
HLB_NLSOK_FRA;HLB_NLSOK_FRA
HLB_DBSCHEMA;HLB_DBSCHEMA
HLB_ISTTEMPLATE;HLB_ISTTEMPLATE
HLB_ART;HLB_ART
HLB_NLSGEN_ENG;HLB_NLSGEN_ENG
HLB_NLSGEN_ITA;HLB_NLSGEN_ITA
HLB_NLSGEN_HUN;HLB_NLSGEN_HUN
HLB_NLSGEN_SVK;HLB_NLSGEN_SVK
HLB_NLSGEN_SLO;HLB_NLSGEN_SLO
HLB_NLSGEN_CZH;HLB_NLSGEN_CZH
HLB_NLSGEN_KRO;HLB_NLSGEN_KRO
HLB_NLSGEN_TUR;HLB_NLSGEN_TUR
HLB_NLSGEN_FRA;HLB_NLSGEN_FRA
HLB_TABLENAME;HLB_TABLENAME
HLB_FIELDNAME;HLB_FIELDNAME
HLB_NLSGEN_DEU;HLB_NLSGEN_DEU
HLB_NLSGEN_SCH;HLB_NLSGEN_SCH
HLB_NLSOK_DEU;HLB_NLSOK_DEU
HLB_NLSOK_SCH;HLB_NLSOK_SCH
HLD_HLDID (PK);HLD_HLDID
HLD_BEZ;HLD_BEZ
HLD_GRUPPENID;HLD_GRUPPENID
HLD_PAKET;HLD_PAKET
HLD_KATEGORIE;HLD_KATEGORIE
HLD_GELOESCHT;HLD_GELOESCHT
HLD_PARAMETER;HLD_PARAMETER
HLD_REIHUNG;HLD_REIHUNG
HLD_AENDERUNGSDATUM;HLD_AENDERUNGSDATUM
HLD_ERSTELLDATUM;HLD_ERSTELLDATUM
HLD_ERSTELLUSER;HLD_ERSTELLUSER
HLD_LETZTERUSER;HLD_LETZTERUSER
HLD_LOCKUSERID;HLD_LOCKUSERID
HLD_FUNKTIONSNR;HLD_FUNKTIONSNR
HLD_DOKUMENT_NAME;HLD_DOKUMENT_NAME
HLD_DBSCHEMA;HLD_DBSCHEMA
HLD_ART;HLD_ART
HLD_NLSGEN_ENG;HLD_NLSGEN_ENG
HLD_NLSGEN_ITA;HLD_NLSGEN_ITA
HLD_NLSGEN_HUN;HLD_NLSGEN_HUN
HLD_NLSGEN_SVK;HLD_NLSGEN_SVK
HLD_NLSGEN_SLO;HLD_NLSGEN_SLO
HLD_NLSGEN_CZH;HLD_NLSGEN_CZH
HLD_NLSGEN_KRO;HLD_NLSGEN_KRO
HLD_NLSGEN_TUR;HLD_NLSGEN_TUR
HLD_NLSGEN_FRA;HLD_NLSGEN_FRA
HLD_NLSGEN_DEU;HLD_NLSGEN_DEU
HLD_NLSGEN_SCH;HLD_NLSGEN_SCH
HLD_PLATFORM;HLD_PLATFORM
HLD_FUNKTIONAUFRUF_SPERREN;HLD_FUNKTIONAUFRUF_SPERREN
HLF_HLFID (PK);HLF_HLFID
HLF_USERID;HLF_USERID
HLF_HLBID;HLF_HLBID
HLF_AENDERUNGSDATUM;HLF_AENDERUNGSDATUM
HLF_ERSTELLDATUM;HLF_ERSTELLDATUM
HLF_ERSTELLUSER;HLF_ERSTELLUSER
HLF_LETZTERUSER;HLF_LETZTERUSER
HLF_ART;HLF_ART
HLZ_HLDID (PK);HLZ_HLDID
HLZ_HLBID (PK);HLZ_HLBID
HLZ_DELETED;HLZ_DELETED
HLZ_AENDERUNGSDATUM;HLZ_AENDERUNGSDATUM
HLZ_ERSTELLDATUM;HLZ_ERSTELLDATUM
HLZ_ERSTELLUSER;HLZ_ERSTELLUSER
HLZ_LETZTERUSER;HLZ_LETZTERUSER
HTB_HILFETBID (PK);HTB_HILFETBID
HTB_HILFETBBEZ;HTB_HILFETBBEZ
HTB_MATCHCODE;HTB_MATCHCODE
HTB_BLOBLFDNR;HTB_BLOBLFDNR
HTB_CONSTNAME;HTB_CONSTNAME
HTB_AENDERUNGSDATUM;HTB_AENDERUNGSDATUM
HTB_ERSTELLDATUM;HTB_ERSTELLDATUM
HTB_ERSTELLUSER;HTB_ERSTELLUSER
HTB_LETZTERUSER;HTB_LETZTERUSER
IFC_INTFARBCODENUMMER (PK);IFC_INTFARBCODENUMMER
IFC_INTFARBCODEBEZ;IFC_INTFARBCODEBEZ
IFC_KONSTANTENNAME;IFC_KONSTANTENNAME
IFC_AENDERUNGSDATUM;IFC_AENDERUNGSDATUM
IFC_ERSTELLDATUM;IFC_ERSTELLDATUM
IFC_ERSTELLUSER;IFC_ERSTELLUSER
IFC_LETZTERUSER;IFC_LETZTERUSER
LNG_GROUP_ID (PK);LNG_GROUP_ID
LNG_FIELD_ID (PK);LNG_FIELD_ID
LNG_NLSOK;LNG_NLSOK
LNG_NLSOK_DEU;LNG_NLSOK_DEU
LNG_NLSOK_SCH;LNG_NLSOK_SCH
LNG_NLSOK_ENG;LNG_NLSOK_ENG
LNG_NLSOK_ITA;LNG_NLSOK_ITA
LNG_NLSOK_HUN;LNG_NLSOK_HUN
LNG_NLSOK_SVK;LNG_NLSOK_SVK
LNG_NLSOK_SLO;LNG_NLSOK_SLO
LNG_NLSOK_CZH;LNG_NLSOK_CZH
LNG_NLSOK_KRO;LNG_NLSOK_KRO
LNG_NLSOK_TUR;LNG_NLSOK_TUR
LNG_NLSOK_FRA;LNG_NLSOK_FRA
LNG_ANZEIGETEXT;LNG_ANZEIGETEXT
LNG_ANZEIGETEXT_DEU;LNG_ANZEIGETEXT_DEU
LNG_ANZEIGETEXT_SCH;LNG_ANZEIGETEXT_SCH
LNG_ANZEIGETEXT_ENG;LNG_ANZEIGETEXT_ENG
LNG_ANZEIGETEXT_HUN;LNG_ANZEIGETEXT_HUN
LNG_ANZEIGETEXT_CZH;LNG_ANZEIGETEXT_CZH
LNG_ANZEIGETEXT_SVK;LNG_ANZEIGETEXT_SVK
LNG_ANZEIGETEXT_ITA;LNG_ANZEIGETEXT_ITA
LNG_ANZEIGETEXT_SLO;LNG_ANZEIGETEXT_SLO
LNG_ANZEIGETEXT_KRO;LNG_ANZEIGETEXT_KRO
